University,Status,Target Major,Term,Q,V,AWA,GRE,TOEFL/IELTS,UG College ,UG Major,CGPA,Papers,Work EX
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,164,155,4,319,117,SRM University,Computer Science,8.74,1,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,165,153,4.5,318,118,Thadomal Shahani Engineering College,Computer Science,8.88,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,169,162,5,331,118,"Fr. Conceicao Rodrigues College Of Engineering, Bandra",Computer Science,9.53,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2016,157,150,0,307,N/A,JBIET,Computer Science,68,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,165,151,4,316,N/A,JNTUK,Computer Science,8.18,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,148,N/A,315,N/A,"College of Engineering, Guindy",Computer Science,7.34,2,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,153,N/A,320,N/A,Vellore Institute of Technology,Computer Science,7.6,1,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,157,141,3,298,N/A,"Atharva College Of Engineering, Malad",Computer Science,7.6,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,159,3.5,326,N/A,"MPSTME, NMIMS University",Computer Science,60,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,161,153,3.5,314,N/A,Veermata Jijabai Technological Institute,Information Technology,8.88,2,18 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,164,155,3.5,319,N/A,"Govt. engineering college, Bikaner",Computer Science,76.18,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,170,153,4,323,N/A,Manipal Institute of Technology,Computer Science,8.01,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,162,156,N/A,318,N/A,SRM University,Information Technology,9.5,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,163,151,N/A,314,N/A,UPTU,Information Technology,73.36,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,160,144,N/A,304,N/A,Usha Pravin Gandhi College Of Management SVKM,Information Technology,75,0,6 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,145,3,312,N/A,andhra university,Computer Science,7.81,N/A,31 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,161,158,4,319,N/A,Vishwakarma Institute of Information Technology,Computer Science,67.4,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,164,155,N/A,319,N/A,Ramrao Adik Institute of Technology,Computer Science,69,N/A,41 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,161,152,N/A,313,N/A,"MKSSS's Cummins College Of Engineering For Women, Karvenagar",Computer Science,70.63,N/A,17 Mo
